기준 일자,정류소 명,정류소 번호,정류소아이디,권역,법정동 명,엑스좌표,경도,와이좌표,위도
2024-12-31,금란마트,89056.0,168001056,서구,오류동,166851.2562,126.6254368,454829.0846,37.59517917
2024-12-31,금성목재,42812.0,168000812,서구,오류동,164931.5653,126.6037137,454546.449,37.59256147
2024-12-31,금호어울림아파트,42592.0,168000592,서구,마전동,170455.2921,126.6662497,454722.8756,37.59434523
2024-12-31,금호어울림아파트,42593.0,168000593,서구,마전동,170478.985,126.6665189,454700.4882,37.59414429
2024-12-31,금호어울림아파트,42137.0,168000137,서구,석남동,170589.3627,126.6681712,444675.9287,37.50382896
2024-12-31,금호어울림아파트,42139.0,168000139,서구,석남동,170572.5801,126.6679807,444691.8804,37.50397214
2024-12-31,금호종합열처리,42801.0,168000801,서구,경서동,168540.8341,126.6448008,449410.943,37.54642272
2024-12-31,"기점(미정차)_43, 66, 87",89504.0,168001504,서구,오류동,170200.1519,126.6634358,452881.9549,37.57775085
2024-12-31,길훈아파트,42494.0,168000494,서구,불로동,172157.1861,126.6854389,456855.766,37.61361507
2024-12-31,나은병원,42056.0,168000056,서구,가좌동,171632.2839,126.6800278,443070.5092,37.48939706
2024-12-31,낚시터입구,42802.0,168000802,서구,경서동,168540.3204,126.6447942,449429.4347,37.54658931
2024-12-31,남광하우스토리,42920.0,168000920,서구,청라동,168241.2704,126.6414613,448250.1715,37.53595418
2024-12-31,남광하우스토리,42841.0,168000841,서구,청라동,168177.9009,126.6407486,448152.8002,37.5350747
2024-12-31,남광하우스토리,42921.0,168000921,서구,청라동,168292.6199,126.6420411,448277.3785,37.53620108
2024-12-31,남청라TG,89379.0,168001379,서구,청라동,165811.9569,126.6140971,445650.6182,37.51244587
2024-12-31,남청라TG,89380.0,168001380,서구,청라동,165775.4745,126.6136848,445644.4147,37.51238863
2024-12-31,녹청자박물관,42668.0,168000668,서구,경서동,169576.9819,126.6564697,450755.7187,37.55857364
2024-12-31,녹청자박물관,42669.0,168000669,서구,경서동,169583.5739,126.6565438,450765.8086,37.55866477
2024-12-31,뉴서울아파트,89071.0,168001071,서구,가정동,171671.3282,126.6803174,447007.0504,37.52486585
2024-12-31,단봉초등학교,42380.0,168000380,서구,왕길동,167988.2689,126.6382999,455086.8424,37.5975418
2024-12-31,단봉초등학교,42382.0,168000382,서구,오류동,167955.0694,126.6379231,455106.5696,37.59771837
2024-12-31,당하금호어울림1차,42435.0,168000435,서구,당하동,173348.2718,126.6990193,454381.9922,37.59136246
2024-12-31,당하대주파크빌,42392.0,168000392,서구,당하동,171436.9508,126.6773899,454086.9193,37.5886465
2024-12-31,당하동탑스빌아파트,42639.0,168000639,서구,당하동,171065.0837,126.67317,454328.0386,37.59080727
2024-12-31,당하동행정복지센터,42886.0,168001014,서구,당하동,171099.8917,126.6735592,454453.4706,37.59193848
2024-12-31,당하메디칼,42402.0,168000402,서구,당하동,171382.6797,126.6767609,454458.5002,37.59199264
2024-12-31,당하초등학교,42396.0,168000396,서구,당하동,171398.9739,126.6769513,454307.4971,37.59063266
2024-12-31,당하초등학교,42399.0,168000399,서구,당하동,171411.6323,126.6770934,454336.5028,37.59089438
2024-12-31,당하탑스빌아파트,42393.0,168000393,서구,당하동,171155.1629,126.6741961,454170.697,37.58939251
2024-12-31,당하푸르지오,42502.0,168000502,서구,마전동,171575.3535,126.678934,454675.7017,37.59395555
2024-12-31,당하푸르지오,42403.0,168000403,서구,당하동,171400.1354,126.676958,454472.354,37.59211801
2024-12-31,당하풍림아파트,42405.0,168000405,서구,마전동,171379.1479,126.6767129,454663.156,37.59383642
2024-12-31,대덕강업앞,42759.0,168000759,서구,왕길동,168971.4212,126.6494681,454248.2315,37.59001992
2024-12-31,대동아파트,42304.0,168000304,서구,심곡동,171810.9251,126.6818097,449267.04,37.54523217
2024-12-31,대동아파트,42306.0,168000306,서구,심곡동,171828.0663,126.6820027,449291.8653,37.54545636
2024-12-31,대림아파트,42609.0,168000609,서구,왕길동,169418.9889,126.6544844,455472.9024,37.60106881
2024-12-31,대림아파트,42610.0,168000610,서구,왕길동,169432.2265,126.6546356,455441.4823,37.60078617
2024-12-31,대문목재,89206.0,168001206,서구,원창동,165543.7319,126.6111185,444474.4776,37.50183913
2024-12-31,대문목재,89207.0,168001207,서구,원창동,165543.0568,126.6111123,444443.425,37.50155933
2024-12-31,대상스틸,89007.0,168001001,서구,불로동,171632.9678,126.6795133,456557.44,37.6109112
2024-12-31,대성베르힐아파트(가정성당),89240.0,168001240,서구,신현동,170175.9469,126.6634099,446787.5472,37.52284095
2024-12-31,대성베르힐아파트(가정성당),89241.0,168001241,서구,신현동,170278.0021,126.6645655,446759.0191,37.52258722
2024-12-31,대신철강,42859.0,168000859,서구,왕길동,169670.8095,126.6573898,454174.7655,37.58938136
2024-12-31,대우자동차운전학원,42263.0,168000263,서구,경서동,168846.7753,126.6482704,449230.9153,37.54481113
2024-12-31,대우자동차운전학원,42262.0,168000262,서구,경서동,168821.3226,126.6479824,449231.0751,37.5448117
2024-12-31,대우푸르지오,42842.0,168000842,서구,청라동,168150.4965,126.6404386,448151.7546,37.53506433
2024-12-31,대우푸르지오,42407.0,168000407,서구,당하동,171442.042,126.677426,454636.4628,37.59359788
2024-12-31,대우하나아파트,89073.0,168001073,서구,가정동,172030.1261,126.6843769,446990.1805,37.52472482
2024-12-31,대우하나아파트·2차리더스뷰106동,89074.0,168001074,서구,가정동,172024.1461,126.684312,446918.8285,37.52408177
2024-12-31,대원레스피아1단지아파트,42643.0,168000643,서구,마전동,169865.9645,126.6594874,456891.8418,37.61386775
2024-12-31,대은교회,42143.0,168000143,서구,석남동,170952.5974,126.672276,444753.4615,37.50453903
2024-12-31,대인고등학교,42345.0,168000345,서구,공촌동,171417.2344,126.6772998,450677.6101,37.55792893
2024-12-31,대인고등학교,42344.0,168000344,서구,공촌동,171445.8175,126.677627,450582.3103,37.55707119
2024-12-31,대인고등학교,89490.0,168001490,서구,검암동,171327.2238,126.6762864,450542.322,37.55670721
2024-12-31,대주아파트,42469.0,168000469,서구,마전동,170616.5347,126.6680115,456313.4393,37.60868087
2024-12-31,대주파크빌,42466.0,168000466,서구,마전동,170530.2448,126.6670304,456409.2717,37.60954152
2024-12-31,대현목재,89205.0,168001205,서구,원창동,165292.0997,126.6082679,444579.1186,37.50277248
2024-12-31,도담공원.푸르지오더베뉴,89398.0,168001398,서구,원당동,174486.1349,126.711877,455120.3911,37.59804755
2024-12-31,도담공원.푸르지오더베뉴,89397.0,168001397,서구,원당동,174481.3731,126.7118241,455089.951,37.59777316
2024-12-31,도담공원·인천이음중학교(서측),89482.0,168001482,서구,원당동,174320.2258,126.7099921,455295.7965,37.59962327
2024-12-31,도담공원·인천이음중학교(서측),89547.0,168001547,서구,원당동,174303.2223,126.7098003,455274.8589,37.59943416
2024-12-31,도림주철관1공장,89307.0,168001307,서구,경서동,168738.7287,126.6470114,450084.9226,37.55250185
2024-12-31,도림주철관공업(주),42293.0,168000293,서구,경서동,168736.148,126.646976,450229.384,37.55380332
2024-12-31,독골사거리,42175.0,168000175,서구,신현동,170545.5073,126.6676317,445761.0784,37.51360456
2024-12-31,독정역(서구동구예비군훈련장),42378.0,168000378,서구,당하동,171340.893,126.6763207,453617.744,37.58441637
2024-12-31,독정역(서구동구예비군훈련장),42377.0,168000377,서구,백석동,171294.1435,126.6757893,453670.9655,37.58489442
2024-12-31,동문아파트,42436.0,168000436,서구,당하동,172886.9775,126.6937862,454654.1282,37.59380083
2024-12-31,동성.길훈아파트,42495.0,168000495,서구,불로동,172280.2803,126.6868252,457063.6685,37.61549193
2024-12-31,동성아파트,42496.0,168000496,서구,불로동,172303.3423,126.6870869,457049.2594,37.61536281
2024-12-31,동아아파트,42406.0,168000406,서구,마전동,170950.7475,126.671856,454817.0471,37.59520948
2024-12-31,동아아파트,42404.0,168000404,서구,마전동,170953.6585,126.6718903,454783.5706,37.59490796
2024-12-31,동아전기,42647.0,168000647,서구,불로동,173319.053,126.6986162,456360.7769,37.60918988
2024-12-31,동아전기,42725.0,168000725,서구,불로동,173300.1137,126.6984027,456333.8914,37.6089471
2024-12-31,동아정밀,42037.0,168000037,서구,가좌동,170989.7888,126.6727688,442926.3958,37.48807863
2024-12-31,동양엔파트4단지,42837.0,168000837,서구,청라동,168450.2453,126.6438554,447559.2274,37.52973612
2024-12-31,동양엔파트4단지,42820.0,168000820,서구,청라동,168459.7307,126.643961,447600.3926,37.53010733
2024-12-31,동양엔파트5단지,42986.0,168000986,서구,청라동,166603.8506,126.6229899,447054.2611,37.5251214
2024-12-31,동양하이테크,42966.0,168000966,서구,경서동,168613.3883,126.6456021,449872.0134,37.55057932
2024-12-31,두밀경노당,89331.0,168001331,서구,대곡동,170233.2756,126.6635813,458515.3645,37.62850709
2024-12-31,두밀경노당,89328.0,168001328,서구,대곡동,170234.2769,126.663592,458530.0502,37.62863944
2024-12-31,드림파크야생화단지,89363.0,168001363,서구,오류동,170039.1677,126.6616134,452881.5133,37.57774163
2024-12-31,드림파크야생화단지,89364.0,168001364,서구,오류동,170068.9615,126.6619495,452911.3626,37.57801154
2024-12-31,디에트르더힐,89464.0,168001464,서구,원당동,174301.343,126.7097733,455439.4598,37.60091711
2024-12-31,디에트르더힐,89455.0,168001455,서구,원당동,174371.4478,126.7105663,455462.7592,37.60112899
2024-12-31,디에트르더힐(고산터널),89396.0,168001396,서구,원당동,174174.9094,126.708341,455454.8856,37.60105255
2024-12-31,레이크파크,42840.0,168000840,서구,청라동,168140.6849,126.6403476,447691.6086,37.53091819
2024-12-31,로봇랜드입구,89023.0,168001023,서구,청라동,166548.4365,126.6223442,447468.6457,37.52885289
2024-12-31,로봇랜드입구,89022.0,168001022,서구,청라동,166557.2844,126.6224458,447435.848,37.52855771
2024-12-31,로봇타워,89301.0,168001301,서구,청라동,165656.5476,126.6122992,446508.8702,37.52017273
2024-12-31,로봇타워,89302.0,168001302,서구,청라동,165675.8291,126.6125175,446504.2457,37.52013179
